rfi_id,project_id,project_name,title,status,priority,category,submitted_by,assigned_to,submitted_date,due_date,closed_date,description,response_summary
RFI-001,PROJ-001,Harbor Bridge Reconstruction,Concrete mix design clarification,Open,High,Structural,Acme Construction,Structural Engineering Inc.,2024-02-10,2024-03-01,,"Requesting clarification on concrete mix design for pier foundations. Specs call for 5000 PSI but site conditions may require higher strength due to saltwater exposure.",
RFI-002,PROJ-001,Harbor Bridge Reconstruction,Electrical conduit routing through deck,Closed,Medium,Electrical,Spark Electric,BridgeWorks Design Group,2024-03-15,2024-04-01,2024-03-28,"Need routing plan for electrical conduits through the new bridge deck. Conflict with post-tensioning tendons at grid lines 4-7.",Conduits rerouted to east side of deck. Updated drawings issued ASI-014.
RFI-003,PROJ-001,Harbor Bridge Reconstruction,Bearing pad material substitution,Open,High,Structural,Acme Construction,Structural Engineering Inc.,2024-04-20,2024-05-10,,"Specified elastomeric bearing pads (Fabreeka TIM-1000) have 16-week lead time. Requesting approval for equivalent product from Dynamic Isolation Systems.",
RFI-004,PROJ-001,Harbor Bridge Reconstruction,Temporary shoring design for Phase 2,Closed,High,Structural,Acme Construction,BridgeWorks Design Group,2024-01-05,2024-01-20,2024-01-18,"Need approval of temporary shoring design for Phase 2 deck removal. Proposed system uses steel H-piles with timber lagging.",Approved with condition: add lateral bracing at 12-ft intervals per structural review.
RFI-005,PROJ-001,Harbor Bridge Reconstruction,Rebar splice locations at pier caps,Open,Medium,Structural,Acme Construction,Structural Engineering Inc.,2024-05-01,2024-05-15,,"Drawings show conflicting splice locations for #11 bars at pier cap P-3. Sheet S-401 shows mid-span, S-402 shows at support.",
RFI-006,PROJ-002,Downtown Tower Office Complex,Foundation depth for underground parking,Open,High,Structural,Acme Construction,Skyline Architects LLC,2024-04-01,2024-04-15,,"Geotechnical report indicates rock at 42 ft. Design shows excavation to 48 ft for 3-level parking. Need clarification on foundation bearing elevation.",
RFI-007,PROJ-002,Downtown Tower Office Complex,HVAC ductwork routing on floors 15-20,Closed,Medium,Mechanical,Pacific Mechanical,Skyline Architects LLC,2024-05-20,2024-06-05,2024-06-02,"Ductwork conflicts with structural beams at floors 15-20. Need revised routing or beam penetration approval.",Approved beam penetrations at 6 locations per structural engineer review. See SK-M-042.
RFI-008,PROJ-002,Downtown Tower Office Complex,Curtain wall anchor bolt pattern revision,Open,High,Architectural,Pacific Glass & Glazing,Skyline Architects LLC,2024-06-15,2024-07-01,,"Manufacturer requires 6-bolt pattern instead of specified 4-bolt for wind load compliance at floors 20+. Need structural approval for revised embed plates.",
RFI-009,PROJ-002,Downtown Tower Office Complex,Fire rating at parking garage ceiling,Closed,Medium,Fire Protection,Acme Construction,Skyline Architects LLC,2024-03-10,2024-03-25,2024-03-22,"Code requires 2-hour fire rating at parking/occupied floor separation. Drawings show 1-hour assembly. Please confirm required rating.",2-hour rating confirmed per IBC 508.4. Revised assembly spec issued in ASI-008.
RFI-010,PROJ-002,Downtown Tower Office Complex,Elevator pit waterproofing system,Open,Medium,Architectural,Acme Construction,Skyline Architects LLC,2024-07-01,2024-07-15,,"High water table at site. Requesting approval for bentonite waterproofing system in lieu of specified membrane at elevator pits 1-4.",
RFI-011,PROJ-003,Riverside Community Center,Pool filtration system specifications,Closed,High,Mechanical,Pacific Mechanical,Community Design Partners,2022-01-10,2022-01-25,2022-01-22,"Need specifications for the pool filtration and chemical treatment system. Design documents reference 'equal to Pentair IntelliChlor' but no detailed spec provided.",Pentair IntelliChlor IC40 specified. Full spec issued in addendum 3.
RFI-012,PROJ-003,Riverside Community Center,Gymnasium floor material change,Closed,Medium,Architectural,Acme Construction,Community Design Partners,2022-04-15,2022-04-30,2022-04-28,"Requesting approval to change gymnasium floor from hardwood to synthetic sport surface (Mondo Ramflex). Cost savings of $45K and better maintenance profile.",Approved. Mondo Ramflex 8mm in Sport Oak color accepted as substitution.
RFI-013,PROJ-003,Riverside Community Center,Roof drain location conflict with structure,Closed,High,Structural,Acme Construction,Community Design Partners,2022-06-01,2022-06-15,2022-06-12,"Roof drain at grid B-4 conflicts with steel beam W21x50. Need relocation or beam modification.",Drain relocated 3 ft east to grid B-4.5. Revised plumbing drawings issued.
RFI-014,PROJ-004,Eastside Medical Pavilion,Radiation shielding thickness at imaging suite,Open,Critical,Specialty,Pacific Builders Inc,MedSpace Architects,2024-06-01,2024-06-10,,"Physics report requires 1/8 inch lead equivalent shielding at all imaging room walls. Drawings show 1/16 inch at corridor walls. Please confirm required thickness.",
RFI-015,PROJ-004,Eastside Medical Pavilion,Medical gas piping material specification,Open,High,Mechanical,Pacific Builders Inc,MedSpace Architects,2024-06-15,2024-06-30,,"Specs reference ASTM B819 Type K copper for medical gas. Supplier recommends Type L for sizes above 2 inch. Need clarification on acceptable alternatives.",
RFI-016,PROJ-005,Waterfront Mixed-Use Development,Pile driving vibration limits near existing buildings,Closed,Critical,Structural,Turner-Pacific JV,Urban Design Collective,2023-03-01,2023-03-10,2023-03-08,"Adjacent historic building (100 NW Naito) has vibration sensitivity. Need confirmed PPV limits and monitoring requirements during pile installation.",PPV limit set at 0.5 in/sec. Continuous monitoring required within 50 ft. Pre-construction survey of adjacent building completed.
RFI-017,PROJ-005,Waterfront Mixed-Use Development,Residential unit sound transmission class,Open,Medium,Architectural,Turner-Pacific JV,Urban Design Collective,2024-01-15,2024-02-01,,"Code requires STC 50 between residential units. Current wall assembly tests at STC 47. Need approval for revised assembly or acceptance of current rating.",
