transmittal_id,project_id,project_name,from_company,to_company,date_sent,subject,num_documents,delivery_method,status,description
TRN-001,PROJ-001,Harbor Bridge Reconstruction,BridgeWorks Design Group,Acme Construction,2024-01-15,Issued for Construction - Phase 2 Structural Drawings,24,Electronic,Received,"IFC drawing set for Phase 2 deck replacement. Sheets S-201 through S-224. Supersedes 50% CD set dated 2023-11-01."
TRN-002,PROJ-001,Harbor Bridge Reconstruction,Acme Construction,BridgeWorks Design Group,2024-02-20,Submittal Package - Post-Tensioning System,8,Electronic,Received,"DYWIDAG post-tensioning system submittal including shop drawings, calculations, stressing sequence, and material certifications."
TRN-003,PROJ-001,Harbor Bridge Reconstruction,Structural Engineering Inc.,Acme Construction,2024-03-05,RFI-004 Response - Temporary Shoring,3,Electronic,Received,"Structural review of proposed temporary shoring system. Approved with conditions noted in attached markup."
TRN-004,PROJ-002,Downtown Tower Office Complex,Skyline Architects LLC,Acme Construction,2024-03-01,ASI-008 Fire Rating Revision,6,Electronic,Received,"Revised assembly details for parking/occupied floor separation. Updated to 2-hour fire rating per RFI-009 response."
TRN-005,PROJ-002,Downtown Tower Office Complex,Pacific Glass & Glazing,Skyline Architects LLC,2024-06-01,Curtain Wall Submittal Package,42,Electronic,Under Review,"Complete curtain wall submittal for Kawneer 1600 system. Includes structural calculations, thermal analysis, shop drawings, and samples."
TRN-006,PROJ-002,Downtown Tower Office Complex,Acme Construction,Metro Development Corp,2024-07-01,Monthly Progress Report - June 2024,1,Electronic,Received,"Monthly construction progress report including schedule update, cost report, safety statistics, and photo documentation."
TRN-007,PROJ-003,Riverside Community Center,Community Design Partners,Acme Construction,2022-02-01,100% Construction Documents,156,Electronic,Received,"Complete IFC document set for Riverside Community Center. All disciplines included. Bid addenda 1-3 incorporated."
TRN-008,PROJ-004,Eastside Medical Pavilion,MedSpace Architects,Pacific Builders Inc,2024-05-01,Imaging Suite Coordination Drawings,18,Electronic,Received,"Coordinated MEP drawings for MRI and CT imaging suites. Includes equipment clearance zones and shielding requirements."
TRN-009,PROJ-005,Waterfront Mixed-Use Development,Urban Design Collective,Turner-Pacific JV,2024-02-15,Design Development Package - Residential Tower,89,Electronic,Received,"DD package for residential floors 3-12. Includes unit layouts, finish schedules, and MEP coordination drawings."
TRN-010,PROJ-006,Lincoln High School Renovation,EduSpace Design,Acme Construction,2024-02-01,Phasing Plan and Interim Life Safety,12,Electronic,Received,"Construction phasing plan showing occupied/unoccupied zones. Includes interim fire alarm and egress plans for each phase."
TRN-011,PROJ-007,Airport Terminal C Expansion,Aviation Design Group,Kiewit-Hoffman JV,2024-01-01,60% Design Development Package,234,Electronic,Received,"60% DD package for Terminal C. Includes architectural, structural, MEP, and specialty systems. FAA coordination drawings included."
TRN-012,PROJ-008,Cedar Hills Water Treatment Plant,HDR Engineering,Pacific Builders Inc,2024-06-01,90% Construction Documents,145,Electronic,Received,"90% CD set for water treatment plant upgrade. Process, structural, electrical, and I&C drawings. Includes equipment specifications."
