submittal_id,project_id,project_name,title,spec_section,status,submitted_by,reviewed_by,submitted_date,review_date,category,vendor,description
SUB-001,PROJ-001,Harbor Bridge Reconstruction,Steel beam specifications - W24x76,05 12 00,Approved,Acme Construction,Structural Engineering Inc.,2024-03-01,2024-03-15,Structural,US Steel,"Wide flange beams W24x76 Grade A992 for pier cap reinforcement. Mill certificates and material test reports included."
SUB-002,PROJ-001,Harbor Bridge Reconstruction,Elastomeric bearing pads,05 05 23,Under Review,Acme Construction,BridgeWorks Design Group,2024-04-25,,Structural,Fabreeka International,"TIM-1000 elastomeric bearing pads for bridge expansion joints. Shop drawings and load capacity calculations included."
SUB-003,PROJ-001,Harbor Bridge Reconstruction,Post-tensioning system,03 38 00,Approved,Acme Construction,Structural Engineering Inc.,2024-02-15,2024-03-01,Structural,DYWIDAG Systems,"Multi-strand post-tensioning system for deck girders. Includes anchorage details, stressing sequence, and grouting procedures."
SUB-004,PROJ-001,Harbor Bridge Reconstruction,LED roadway lighting fixtures,26 56 00,Approved with Comments,Acme Construction,BridgeWorks Design Group,2024-05-10,2024-05-28,Electrical,Cree Lighting,"CobraHead LED fixtures for bridge deck lighting. Photometric analysis and mounting detail included. Comment: Verify wind load rating for coastal exposure."
SUB-005,PROJ-002,Downtown Tower Office Complex,Curtain wall system - Kawneer 1600,08 44 00,Pending,Pacific Glass & Glazing,Skyline Architects LLC,2024-06-01,,Architectural,Kawneer,"1600 Wall System 2-1/2 inch curtain wall for floors 1-25. Includes thermal performance data, structural calculations, and color samples."
SUB-006,PROJ-002,Downtown Tower Office Complex,Structural steel shop drawings,05 12 00,Approved,Acme Construction,Skyline Architects LLC,2024-04-15,2024-05-01,Structural,Fought & Company,"Complete structural steel shop drawing package for floors 1-10. Connection details, erection sequence, and piece marks included."
SUB-007,PROJ-002,Downtown Tower Office Complex,Elevator cab finishes,14 21 00,Under Review,Acme Construction,Skyline Architects LLC,2024-07-01,,Architectural,ThyssenKrupp,"Passenger elevator cab interior finishes for 6 high-rise elevators. Stainless steel panels, LED ceiling, and stone floor samples."
SUB-008,PROJ-002,Downtown Tower Office Complex,Rooftop mechanical equipment,23 74 00,Approved,Pacific Mechanical,Skyline Architects LLC,2024-05-15,2024-06-01,Mechanical,Trane,"4 x Trane RTAC 400-ton air-cooled chillers for rooftop installation. Includes vibration isolation details and structural loading data."
SUB-009,PROJ-003,Riverside Community Center,Pool dehumidification system,23 81 00,Approved,Pacific Mechanical,Community Design Partners,2022-03-15,2022-04-01,Mechanical,Desert Aire,"DualMax 2500 pool dehumidification unit. Energy recovery, capacity calculations for 8,000 SF natatorium."
SUB-010,PROJ-003,Riverside Community Center,Gymnasium sport flooring,09 65 00,Approved,Acme Construction,Community Design Partners,2022-05-01,2022-05-15,Architectural,Mondo,"Ramflex 8mm synthetic sport surface in Sport Oak color. Includes subfloor system details and expansion joint layout."
SUB-011,PROJ-004,Eastside Medical Pavilion,MRI shielding enclosure,13 49 00,Under Review,Pacific Builders Inc,MedSpace Architects,2024-07-01,,Specialty,ETS-Lindgren,"RF shielding enclosure for 3T MRI suite. Includes door design, penetration panel details, and attenuation test protocol."
SUB-012,PROJ-004,Eastside Medical Pavilion,Medical gas manifold system,22 63 00,Pending,Pacific Builders Inc,MedSpace Architects,2024-07-15,,Mechanical,BeaconMedaes,"Automatic manifold switchover system for O2, N2O, and medical air. Includes alarm panel and zone valve box details."
SUB-013,PROJ-005,Waterfront Mixed-Use Development,Residential kitchen cabinetry,12 35 00,Approved,Turner-Pacific JV,Urban Design Collective,2024-03-01,2024-03-20,Architectural,Bellmont Cabinet Co,"Frameless European-style cabinetry for 200 residential units. 4 unit type configurations with finish samples."
SUB-014,PROJ-006,Lincoln High School Renovation,Historic window replicas,08 52 00,Under Review,Acme Construction,EduSpace Design,2024-04-01,,Architectural,Marvin Windows,"Aluminum-clad wood windows matching historic profile. SHPO-approved muntin pattern and color. Includes thermal performance data."
SUB-015,PROJ-007,Airport Terminal C Expansion,Passenger boarding bridge,11 17 00,Approved,Kiewit-Hoffman JV,Aviation Design Group,2024-01-15,2024-02-10,Specialty,JBT AeroTech,"Apron Drive PBB for gates C1-C12. Dual-aircraft capable, glass-enclosed walkway, climate controlled. Includes foundation loading data."
SUB-016,PROJ-008,Cedar Hills Water Treatment Plant,Membrane filtration modules,46 31 00,Under Review,Pacific Builders Inc,HDR Engineering,2024-08-01,,Process,Pall Corporation,"MF membrane modules for 35 MGD capacity. Includes flux rate calculations, cleaning protocol, and expected membrane life data."
